org_code,month_key,type1_performance,prev_month,mom_change,yoy_change,rolling_3m,national_rank
RJ6,202410,0.60210493245366,0.6297066112399072,-0.027601678786247197,-0.007239082775974293,0.6361785605415339,44
RXP,202410,0.6017037037037036,0.58820188250568,0.013501821198023678,0.04152167867526224,0.5857409131247853,45
RTD,202410,0.6005324262367817,0.6068185570414397,-0.006286130804658008,0.01842098928663516,0.610726940882195,46
RXQ,202410,0.6001816530426884,0.595631217311045,0.004550435731643487,0.029983724625090247,0.6201904033697736,47
R0D,202410,0.59677657844152,0.6240560949298813,-0.027279516488361355,0.10068223014928535,0.6234458247192239,48
RTH,202410,0.5951647674776717,0.6475644699140402,-0.05239970243636849,0.05382057195832335,0.6411417945748374,49
RD1,202410,0.5928150498640072,0.636268221574344,-0.0434531717103368,0.01689881949751504,0.619563408752174,50
RH8,202410,0.5922753716871364,0.6219673213401551,-0.02969194965301869,0.07636531653227852,0.6121399219262392,51
RN5,202410,0.5919227527013564,0.6177690993409812,-0.025846346639624818,-0.018363610566267452,0.5932456448979552,52
RC9,202410,0.5916139806751759,0.6244026760114686,-0.032788695336292695,-0.01860689416241612,0.6114302121370351,53
RYJ,202410,0.5898387096774194,0.6050587016574586,-0.015219991980039205,0.03844512179277304,0.5943539991859055,54
RBD,202410,0.5884597043395327,0.6612215909090908,-0.07276188656955818,-0.015008774685543513,0.6297716809320133,55
RYR,202410,0.5835942668136714,0.5843663750760163,-0.0007721082623448616,-0.00656310314588493,0.5832260311377445,56
RLQ,202410,0.5821749795584628,0.5791257200948832,0.00304925946357959,0.016841200070425222,0.5878213870639358,57
RWG,202410,0.5778187687341481,0.6405460060667341,-0.062727237332586,0.12410062000819899,0.6375598055151435,58
RGP,202410,0.5775019804594665,0.5825256161728053,-0.005023635713338748,-0.03916468620720015,0.5835732915249251,59
RCF,202410,0.5745424292845258,0.5969728968673003,-0.02243046758277445,0.08490465671289127,0.5875756035818879,60
RWJ,202410,0.5727911646586346,0.5541862533350272,0.01860491132360731,-0.005958559220313964,0.5798429801325324,61
RGN,202410,0.5716574327481476,0.6207446037954513,-0.049087171047303646,0.03675714784786277,0.615393315251829,62
RH5,202410,0.5714611872146118,0.589998422464111,-0.01853723524949924,-0.009648780325567152,0.5954735522446267,63
RAL,202410,0.5694878259887857,0.5932727939080507,-0.023784967919264988,0.07245647867718097,0.5906253532157456,64
RWE,202410,0.5665000225194794,0.5611770779556015,0.0053229445638779405,0.05406313336296442,0.5739487993427855,65
RNZ,202410,0.5605543710021321,0.5554824561403509,0.005071914861781268,-0.034311439966362656,0.568269794092419,66
RR8,202410,0.5603557116978646,0.6047932057471933,-0.04443749404932873,0.05271433238751977,0.5981951674018481,67
RXF,202410,0.5590630759170085,0.5988600379987334,-0.039796962081724896,-0.012047122898310225,0.5897514704757583,68
RM3,202410,0.5579949048404016,0.5539778489999594,0.004017055840442207,0.04046529267069121,0.5586972712378032,69
RK5,202410,0.5556374355195284,0.6226111636707663,-0.06697372815123792,-0.016189881190557198,0.6393098521063029,70
RF4,202410,0.5499963691816135,0.5606821260658219,-0.010685756884208364,0.05696616672558963,0.5605143157105724,71
RJ1,202410,0.5441066766132041,0.5947048870309546,-0.05059821041775048,0.06832483069405837,0.5777288545480529,72
R1H,202410,0.542442665845775,0.5428878508536232,-0.00044518500784818116,-0.005305953495539972,0.5384556414887962,73
RVV,202410,0.5407010853622763,0.5653773880363295,-0.024676302674053185,0.08313865277287946,0.5560365444123455,74
RNN,202410,0.5401943462897527,0.5194672131147541,0.020727133174998635,-0.003980522101183492,0.5576876696173512,75
RXK,202410,0.5396552957162268,0.5294489294489295,0.010206366267297318,0.07143897693064805,0.5393132473015344,76
RTG,202410,0.536494043277413,0.5578298269250699,-0.02133578364765687,0.008922413404233165,0.5584921754486539,77
RJZ,202410,0.532562959241349,0.5908413757367705,-0.05827841649542154,0.10419493429050486,0.5740749328544539,78
RXL,202410,0.5324414715719064,0.5347980997624704,-0.0023566281905640363,0.024801205620664124,0.5301427705093977,79
R0A,202410,0.5316123048384603,0.5462117027153359,-0.014599397876875586,0.009049089844159197,0.5572848496566024,80
RXC,202410,0.5304030972443634,0.5760990712074303,-0.045695973963066905,-0.04960764966589992,0.5848606879422992,81
